Feature,Importance
amt,0.4391589999542512
hour,0.10642156068162369
age,0.06136873069823995
category_grocery_pos,0.05445576067418736
unix_time,0.03284195781825548
city_pop,0.03154646236819513
merch_long,0.02950949919885579
merch_lat,0.028997868984888885
distance,0.026836484070319872
lat,0.023252786122943143
long,0.022908089509147744
day,0.020243633551524132
category_gas_transport,0.019053398579957564
month,0.013406185235917679
day_of_week,0.012144586901395768
category_shopping_net,0.01155779576932075
category_misc_net,0.010268376578618727
category_misc_pos,0.010182172501503934
gender_M,0.007752945527967257
category_shopping_pos,0.007358953683259361
gender_F,0.007003819683689573
category_travel,0.006462340316033148
category_entertainment,0.006125672070650011
category_home,0.0037013358647658887
category_grocery_net,0.0018430986576301962
category_kids_pets,0.0017074643418626806
category_food_dining,0.0016976287051382979
category_personal_care,0.0012284862795932405
category_health_fitness,0.000963905670263693
