,precision,recall,f1-score,support
0,0.9988901481246211,0.9998898069634773,0.9993897275621061,553574.0
1,0.961659333752357,0.7132867132867133,0.8190578158458244,2145.0
accuracy,0.9987835578772725,0.9987835578772725,0.9987835578772725,0.9987835578772725
macro avg,0.9802747409384891,0.8565882601250954,0.9092237717039653,555719.0
weighted avg,0.9987464422286042,0.9987835578772725,0.9986936708308597,555719.0
