,precision,recall,f1-score,support
0,0.9992746072749111,0.9978846549874091,0.9985791474523174,553574.0
1,0.5982847341337907,0.813053613053613,0.6893280632411067,2145.0
accuracy,0.9971712322234798,0.9971712322234798,0.9971712322234798,0.9971712322234798
macro avg,0.7987796707043509,0.905469134020511,0.843953605346712,555719.0
weighted avg,0.9977268407276315,0.9971712322234798,0.9973854801930857,555719.0
