Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9957136610409217,0.992329120193676,0.9957136610409217,0.9940071163004025
Decision Tree,0.9971712322234798,0.9977268407276315,0.9971712322234798,0.9973854801930857
Random Forest,0.9987835578772725,0.9987464422286042,0.9987835578772725,0.9986936708308597
