,precision,recall,f1-score,support
0,0.9993016317573008,0.997754591075448,0.9985275122006778,553574.0
1,0.5859427048634244,0.8200466200466201,0.6835049543423354,2145.0
accuracy,0.9970686623995221,0.9970686623995221,0.9970686623995221,0.9970686623995221
macro avg,0.7926221683103626,0.908900605561034,0.8410162332715065,555719.0
weighted avg,0.9977061223394343,0.9970686623995221,0.9973115678356189,555719.0
