Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9957136610409217,0.992329120193676,0.9957136610409217,0.9940071163004025
Decision Tree,0.9970686623995221,0.9977061223394343,0.9970686623995221,0.9973115678356189
Random Forest,0.998787156818464,0.9987525089697636,0.998787156818464,0.9986960457828066
